id,text
PMC8113183,"The creatinine clearance was divided by a value of 120 or 130 for female and male patients, respectively, to determine a scalar of renal function, which was then applied directly to the renal plasma clearance input."
PMC3112130,"This combined dataset consisted of data on 2669 twins: 415 MZ male (206 pairs), 363 DZ male (178 pairs), 658 MZ female (326 pairs), 462 DZ female (227 pairs) and 769 DZ opposite sex twins (377 pairs).The survey of 2009-2010 is ongoing."
PMC3112130,"The available sample 18-25 year old twins consisted of 296 MZ male (105 pairs), 238 DZ male (74 pairs), 703 MZ female (269 pairs), 444 DZ female (149 pairs) and 649 dizygotic opposite sex twins (166 pairs).The same question on smoking initiation was asked in both surveys: 'Did you ever smoke?'"
PMC3112130,The total variance of the liability was constrained to be 1 for men and women.
PMC5401765,"Twenty-three of the originallyrecruited healthy volunteer subjects (18 males, 5 females), aged 18–42 yearscompleted the study."
PMC4305595,"SUBJECTS AND METHODSThe study population consisted of 15 young, male, right-hand-dominant workers with a meanage of 21.1 ± 1.3 years, mean height of 176.1 ± 6.7 cm, and mean weight of 70.9 ± 10.9 kg.The subjects were not accustomed to below-knee assembly work."
PMC5183612,"Materials and MethodsParticipantsIn exchange for course credit, 215 participants from UCL participated in this study (Mage = 18.85,SDage = 0.90, Number of Males = 35)."
PMC9204065,"Participants (208 female and 96 male) resided in Victoria, Canada and were recruited through local media advertisements (radio and newspaper)."
PMC3719315,Blood samples were randomly obtained from 95 men with clinical varicocele who had the indication for varicocelectomy.
PMC9554040,"The neuroimaging data were collected from a group of 12 male anaesthetized rhesus macaque monkeys at the University of Western Ontario71,72."
PMC6731039,Material and MethodsSubjectsThe 48-h intra-esophageal pH monitoring was performed in 12 patients (10 men) aged 25 to 63 years (mean 38.5 ± 12.0 years; median 36 years).
PMC6856488,"Descriptive statistics and one-way analysis of varianceThe study included 80 women participants in 4 groups: normal, overweight, and obese BMI patients with PCOS and a control group."
PMC9021239,"The human models were positioned in the driver compartment based on clearance measurements taken from physical crash tests (NHTSA test number 8035 for 50thmale, NHTSA test number 8380 for 5th female;https://www-nrd.nhtsa.dot.gov/database/veh/veh.htm)."
PMC7471663,"The post-mortem delay (PMD) of these control samples (Figure 2) from left to right are as following: 22 h (NIH Neurobiobank #5401, 19 years old female), 23 h (NIH Neurobiobank #5646, 20 years old female), and 15 h (NIH Neurobiobank #5287, 23 years old female)."
PMC8811561,"Implementation of the interventionA total of 18 men and five carers, 6 clinicians, 13 TrueNTH service providers and two Movember representatives participated in the interviews."
PMC3521887,Of the women 123 did not meet the criteria and 11 women declined to participate.
PMC3521887,"After randomization, 190 volunteer low-risk pregnant women before active labor were enrolled in this study, 90 women in each group."
PMC3521887,"Totally, 180 women allocated to carbohydrate (N=90) and control (90) group."
PMC3597590,"Adults ranged from 18 to 49 years of age (50 male, 50 female;Mage= 20.46 years,SD= 3.37), with 78 18 to 20 year olds, 21 21 to 30 year olds, and one person older than 31 years of age."
PMC6985617,"In the introduction, is there any reference to the magnitude of the problem in women and men?4."
PMC2853790,"Patients and methodsA total of 16 patients treated with sirolimus were studied, with an age (mean ± SEM) of 53.9 ± 3.8 years (range 19–75 years), of which 7 (5 men and 2 women) were maintenance renal transplant recipients, and 9 (men) were maintenance liver transplant recipients."
PMC4121547,Participants and designTwenty-four right-handed first-year students (22 women; Mage= 24.75; SD = 7.29) volunteered to take part in the study in exchange for a course credit.
PMC5854295,The median age of the cancer patients was 65 years (interquartile range [IQR] 56–73 years) for men and 56 years (IQR 47–66 years) for women.
PMC7316706,"Analysis of RET fusions in lung cancer and patient characteristicsAmong the 1,587 patients, RET fusions were identified in 23 cases [1.4% (23/1587)], 15 females [2.2% (15/685) and 8 males [0.9% (8/902)]."
PMC7316706,The most common fusions were KIF5B–RET in females [80% (12/15)] and CCDC6–RET in males [50% (4/8)].
PMC7316706,"Among the 1,587 patients, RET fusions were identified in 23 cases, 15 females and 8 males."
PMC3766665,"Hyperuricemia was defined as a serum UA level of ≥7.0 mg/dL for men[11].Measurements of muscle strengthGrip strength in kilograms was assessed using a handheld digital Smedley dynamometer (TKK 5401; Takei Scientific Instruments Co., Ltd, Niigata, Japan) in the standing position."
PMC2780673,"Of 130 patients (24 men and 106 women; mean age, 56.2 ± 12.4 years), 24 were classified as stage I, 46 as stage II, 41 as stage III, and 19 as stage IV according to the Steinbrocker classification."
PMC8698849,"The sample was mostly single (92%), female (79%), White (80%), and not of Hispanic origin (80%), with a mean age of 19.88 years (ranging from 18–37 years).2.2."
PMC8698849,"Due to small cell sizes for specific gender identity groups, gender identity was recoded into female, non-binary, or self-identified/other = 1 and male = 0."
PMC7025414,"Descriptive analysis of SS + PTB casesA total of 4 708 563 SS + PTB cases were reported in China between 2005 and 2015, of which 3 376 011 (71.7%) were male and 1 332 552 (28.3%) were female."
PMC6276673,"The seven studies with a sample size smaller than 300 had similar odds [95% CI] of 1.41 [1.02, 1.95], including 949 women."
PMC8371097,"The declining trends of TB incidence in men and women of DRC were the lowest amongst the four countries (− 0.0% and − 0.1% respectively) from 1990 to 2019.In men and women from CAM, CAR, DRC, and Chad, TB mortality had declined significantly during 1990–2019."
PMC9436536,"Among them, women accounted for 58% and men accounted for 42%, which met the statistical requirements."
PMC4280412,"Material and methodsStudy subjectsThree patients with type 1 AIP (2 men and 1 woman), 10 with pancreatic cancer, and 40 normal controls were examined and treated at Fujian University Affiliated Hospital between August 2009 and May 2013."
PMC6069087,"Testing ProtocolsTo assess the feasibility of the proposed system and approach, 15 human subjects without any history of cardiovascular disease were enrolled (age: 30 ± 5 years; gender: 9 males, 6 females; height: 165 ± 10 cm; weight: 60 ± 10 kg)."
PMC7607706,The final analytical sample comprised 2072 participants (1075 males and 997 females) who were enrolled in 2001 and who provided at least one wave of data on the measure of ESPE.
PMC6533355,"The ACS assessment tasks are explained below:Affect Naming (ACS Affect):The participant is presented with 24 images of male and female faces, each displaying a particular emotion (i.e., happiness, sadness, surprise, fear, anger, disgust, and neutral)."
PMC7456862,"Participants who voluntarily decided to respond to the questionnaire are 176 Portuguese nationals (85 female and 91 male participants), aged 18–79 years (M= 40.06,SD= 14.02), living in Portugal (94%) or abroad (6%)."
PMC4131810,"MATERIAL AND METHODSParticipants and serum samples:In total, 317 blood donors from bothgenders (101 men and 216 women), from ages of 18 to 68 years participated in thisserological survey."
PMC9372763,"Materials and methodsA total of 16 patients (4 females and 12 males) with AS suffering from painful thoracic or lumbar non-displaced fractures with IVP (2 levels in 2 patients, 1 level in 14 patients) received KP in our institute from May 2015 to June 2020."
PMC6089833,"The study was a double‐blind randomized, placebo‐controlled trial in which 48 women were assigned to one of two treatment groups."
PMC6089833,The study randomized 15 women to the DPV film and each were given seven daily doses of DPV film with doses 1 and 7 administered at the study site and doses 2–6 administered at home30.
PMC6089833,"The chosen study was a double‐blind, randomized, placebo‐controlled trial in which 16 healthy women were randomized 1:1 to use either the active or matching placebo ring for 28 consecutive days23."
PMC6089833,The ring formulation methods described above and the mean PBPK parameters described in Table1and Table2were used to simulate the concentration–time profiles of DPV in women for 35 days after the ring was inserted.
PMC3731970,"MATERIALS AND METHODSPanoramic radiographs from 6912 patients (3,860 women and 3052 man, mean age: 29.04 years range 15 to 50 years) attending Kırıkkale University Dental Faculty Hospital during the period from July 2009 to August 2011 were reviewed for the presence of taurodontism."
PMC3995647,"Experimental data acquisitionHealthy young male (n = 6) and female (n = 2) subjects (mean (standard deviation): age 26 (3) years, body height 1.69 (0.10) m, body mass 63.1 (9.6) kg, knee height 0.46 (0.03) m) participated in this experiment with informed consent."
PMC4940007,Patients who had bursectomy were significantly older (t[122)=–3.37;P<0.01) and predominantly females (41.8% for females vs 22% for males).
PMC5462410,"The distributions of quartiles were as follows: 1) In men: lowest concentration quartile: 2 to 69ng/ml, second lowest concentration quartile: 70 to 118ng/ml, second highest concentration quartile: 119 to 193ng/ml, and highest concentration quartile: 194 to 598ng/ml."
PMC5462410,"2) In women: lowest concentration quartile: 2 to 44ng/ml, second lowest concentration quartile: 45 to 73ng/ml, second highest concentration quartile: 74 to 115ng/ml, and highest concentration quartile: 116 to 341ng/ml."
PMC5462410,BMI<18.5) (n = 28 women and n = 15 men) we merged this category with the normal weight.
PMC5462410,Anemia was measured using hemoglobin according to the World Health Organization criteria (WHO): <13g/dL in men and <12g/dL in women [19].
PMC5675318,"All estimates used survey weighting provided by the NSFG to reflect the national household population of men aged 15 to 44 years, with the use of the “subpop” command to restrict analysis to men who met the eligibility criteria."
PMC6649292,"The cell viability(%) was calculated using the following equationAnimalsBALB/cSlc-nu/nu mice (male, 5 weeks) were obtainedfrom Japan SLC, Inc. (Shizuoka, Japan)."
PMC8913565,"Materials and methodsThis prospective study was conducted on 93 male children with 106 hydroceles, in the period from July 2019 to June 2021, at the pediatric surgery unit, surgical department, Tanta university hospital and its affiliated hospitals, Tanta, Egypt."
PMC2522269,"Basic characteristics of the UK study subjects are presented inTable 1.To validate the relevance of thePLCL1gene to HF, we used a Chinese sample containing 403 female subjects including 226 with low trauma osteoporotic HF and 177 controls."
PMC3865306,MethodsStudy participantsStudy participants were 77 men and 75 women aged between 18 and 38 years (mean+SE= 22.72+0.32 years).
PMC3865306,Cortisol data were available for a subset of study participants (n= 122; 62 males and 60 females).
PMC3881483,SUBJECTS AND METHODSThe subjects of this study were 14 young adult males who voluntarily consented toparticipate in this study and had no disease history or any problem with walking.
PMC4183020,"MethodThis epidemiological cross-sectional study included 100 female students between 14 and17 years old selected from public high schools in Viçosa, MG, Brazil."
PMC4659871,"Of which, there were 50 men (57.5%) and 37 women (42.5%)."
PMC9452227,"A total of 64 children (34 males, 30 females) were included in the study."
PMC6640317,"There were 7 males and 13 females, with a median age of 85 years (range 45–91 years)."
PMC4585228,"There were no missing values for the focal variables of interest (i.e., PA and NA).The sample consisted of 764 male students (47%) with a mean sample age of 21.09 years (SD= 2.37)."
PMC3034939,"The final analyzed sample included 1,518 participants, 952 women (62.7%) and 566 men (37.3%).Participants were interviewed by trained health professionals using a standardized instrument, previously validated by the Pan American Health Organization (PAHO) and approved by the WHO [14]."
PMC8724725,Face validity of this scale was examined with the sample of nine male and 10 female primary school students ranging inage from 8 to 11 years.
PMC5359313,"Based on this ASRS screening criterion, we selected 136 at-risk participants (mean age: 20.49,SD= 5.20, 49 males) and 99 not at-risk participants (mean age: 21.77,SD= 6.26, 37 males) for the ADHD non-risk group resulting in a total of 235 participants for final analysis."
PMC5352057,There were 2 female and 8 male patients.
PMC7001539,"The mean age of the cohort was 49 years and the mean BMI was 33.5 ± 6.3; 38% of the cohort were female, 40% were GC and 39% were GG at rs738409."
PMC6691047,"The α-syn-98 group (22 males and 22 females) was injected bilaterally with 8 μg (4 μg/side, 2 μL) of insoluble recombinant α-syn-98 aggregates (anterior-posterior: −3.1 mm; medial-lateral: ±1.3 mm; dorsal-ventral: −4.5 mm from Bregma and the dura) using a 10-μL Hamilton syringe."
PMC5594095,"In total 217 children (108 females and 109 males) between the ages of 5 and 11, and their parents participated in this study."
PMC6460243,"All the products are useless(Participant 2, 80–84-year-old Male, retired factory worker)."
PMC9468130,"In this subgroup, there were 10 men and 2 women, with a mean age of 68.64 ± 10.5."
PMC3428246,"They were selected from amongst the laboratory staff of the Department of Internal Medicine II, University of Tübingen, and students (11 females, 9 males; aged 22–38 years)."
PMC8259010,"Eligibility criteria included the following: (1) assigned male sex at birth, (2) history of insertive or receptive anal intercourse with another man in the past 12 months, (3) adulthood (aged 16 years or older in Abuja and 18 years or older in Lagos), (4) possession of a valid RDS coupon."
PMC5714979,"5A 33 years old man with complex soft tissue and bone defects of midleg.A:Stabilization of bones before reconstruction with soleus flap.B, C:Three months after reconstruction with soleus muscle flap and skin graftFig."
PMC5714979,7A 50 years old man with chronic explosion defect of medial distal leg.A:Before operation.B:Intraoperative view of revers sural flap designing.C:Early postoperative view.D:Delayed post-operation after six monthsFig.
PMC5714979,8A 20 years old man with complex defect of hind foot and midfoot.A:Before operationB:Intraoperative designing of revers sural flap and bone stabilization view.C:Early post-operation.D:Delayed post-operation after six monthsFig.
PMC5714979,"9:A 20 years old man after mine explosion injury and forefoot amputation.A, B:Before reconstruction.C:One-month after reconstruction of forefoot with toe fillet flap and skin graft.D:One-year post-operation"
PMC8036441,and their mortality rate is nearly double that of White men [20].
PMC7602615,"These included twenty-two patients (13 males and nine females), mean age 68 ± 4.7 years, diagnosed with MetS according to the global harmonized definition of having three of the five following characteristics: [19] 1."
PMC7602615,"HDL Cholesterol < 40 mg/dL in males or < 50 mg/dL in women, or drug therapy for low HDL cholesterol levels; 3."
PMC7602615,Waist circumference > 102 cm for males or > 88 cm for females; and 5.
PMC5310175,"2Patients and methods2.1Patient 1The first patient was a 52 year old man with a Body Mass Index (BMI) 28.4kgr/m2, suffering from bipolar affective disorder (BPAD)."
PMC7953514,"A total of 93% of the sample identified as female, and 7% identified as male; 66% of respondents were currently supervising students, and 34% of the sample had supervised students in the past."
PMC9454613,Almost half of all cases occur in women between 35 and 55 years of age.
PMC4045765,"MethodsTwenty healthy human subjects (9 male, 40 ± 14 years) underwent LV SSFP imaging on a MAGNETOM Skyra 3T scanner (Siemens, Germany)."
PMC5244018,92 female (86%) and 15 male (14%) patients were included in the SLE group; ages ranged from 18 to 62 years.
PMC5244018,"The control group comprised 43 healthy volunteers, 32 women (74%), and 11 men (26%), aged 19 to 62 years (Table 1)."
PMC8206227,"Slides were analysed using a Nikon Eclipse E800 microscope and micrographs were captured using the Nikon NIS Elements BR image analysis software.A total of 96 females were confirmed as being spawning capable, so were used in all subsequent analyses."
PMC6411777,Materials and methodsSubjectsA total of 126 CCHD patients in Children's Hospital of Chongqing Medical University were screened forEGLN1by sequencing (60 males and 66 females; 19.80 ± 1.99 months old).
PMC3776815,"A typical sample question is“I am a male, 15 years old."
PMC3776815,There were 6 omissions for males and 16 omissions for females.We categorized askers by reported weight by labeling askers as having “normal” weight (BMI >18.5 and <25) and other categories using standard CDC thresholds[32].
PMC8876178,"In a different study, inhalation of DE was associated with increased inflammatory markers in mouse brain, an effect that was more marked in males [137]."
PMC8391376,"Baseline Characteristics of the Study CohortStudy participant characteristics (N = 2364, 60% women) are shown inTable 2."
PMC8391376,"The frequencies of participants smoking or drinking alcohol were 7.0% and 46.7%, respectively.The participants were divided into two groups based on the median VFA: a high-VFA (260 men and 961 women) and low-VFA group (465 men and 678 women; seeTable 2)."
PMC3499279,MethodsIn the year 2002 a 74 years-old man was diagnosed with retroperitoneal fibrosis which had caused bilateral ureteral obstruction.
PMC7821160,"MethodsFor this explorative prospective cohort study, 23 pregnant women were asked to participate."
PMC6657453,"To estimate this percentage with a 10% accuracy, the number of 93 women is needed (95% CI 35.9-45.9%).We expected high drop-out rates as previous research on self-help internet interventions showed rates between 2% and 83% [52,53]."
PMC6657453,"To get a number of 100 women completing the questionnaires, therefore, our goal was to include 500 women."
PMC7696642,"The paper questionnaires were distributed to a total of 277 Taiwanese students (128 males, 149 females) and 149 Japanese students (69 males, 80 females).The survey was composed of two sections, student demographics and questions regarding color association with energy drinks."
PMC6883008,"In the cohorts studied, 6% of men become fathers after age 40 and 1% become fathers after age 45."
PMC6883008,"Although men who plan to form a family and those who become fathers also achieve a higher income, comparing men 5 years after graduation limits the scope of this effect to some extent."
PMC8589767,"MethodSampleIntervieweesInterviewees were 223 (91 women, 132 men) individuals who completed a job interview in a simulated selection setting at a European university."
PMC8589767,"In total, 198 supervisors (56 women, 142 men) completed the questionnaire; of these, 196 supervisors rated one interviewee and two supervisors rated two interviewees."
PMC4189910,Thirty-eight participants (29 women) passed the initial screening.
PMC4189910,"However, before beginning the exercise training protocol, 3 men and 5 women withdrew from the study during the preintervention period.Thus, the exercise protocol began with a sample of 30 participants."
PMC5761467,Plasma samples were periodically collected up to 96 h after a single oral dose administration of a norgestimate and ethinyl estradiol 0.250 mg/0.035 mg tablet to 35 healthy female volunteers in each phase.
PMC5761467,A total of 1120 human plasma samples from 35 female volunteers were analyzed along with calibration standards and QC samples.
PMC8685286,"A total of 227 schoolteachers (152 men and 75 women with an average age of 49.9 years) completed it.MeasuresDemographic data about gender, age, etc., were collected first."
PMC8685286,Gender is coded as 0 = female and 1 = male; school is coded as 0 = elementary school and 1 = junior high school; standardized regression coefficients are demonstrated.
PMC7431424,"), or history of chemotherapy, radiotherapy, blood transfusion, or use of GCSF.One hundred and seventy-four patients (155 females, 19 males; mean age = 56.6 ± 15.4 years) were identified."
PMC7481911,Subjects and SpecimensThe subjects of this study were 79 male patients with cardiovascular and cerebrovascular diseases in the Beijing Anzhen Hospital of the Capital Medical University from 2013 to 2014.
PMC5355240,"The control group consisted of 34 (15 men and 19 women) healthy individuals whose esophagogastroduodenoscopy findings were normal, ranging in age from 25~49 years, Sera were collected at the Ajou Human Bio-Resource Bank before surgery and were frozen at −80°C until use."
PMC3334018,Methods40 children with JDM (32 female) were recruited through the UK JDM Registry and Repository.
PMC3404955,"This seemed cumbersome and we actually planned to recruit at least 100 women per group, which is indeed an arbitrary sample size."
PMC7142040,"MethodParticipantsFourteen undergraduate and graduate students (9 females, 5 males; 18–25 years of age) participated in the experiment."
PMC8748263,Participants and MRI DataTwenty-four cognitively unimpaired older individuals with a parental or multiple-sibling history of AD were selected from the PREVENT-AD cohort (age range: 58–77 yrs; mean age: 66 yrs; 8 men).
PMC4480143,"The final sample in the analyses thus consisted of eighty participants (44 males, 36 females; mean age of the children in months when the parents competed the questionnaire = 90.00, SD = 11.80)."
PMC5585482,"A total of 36 patients were retrospectively analyzed in our study (26 men, and 10 women)."
PMC7947340,"The majority of the participants are female (68%) and the medium age is 22,5 years (SD = 3,4 years); as seen onTable 1participants' academic background is quite varied."
PMC4546349,"In 36EBNA1positive samples, 27 were male while 9 were females."
PMC3821379,"The average age of the CD patients (1 man, 4 women) was 44 years (range 25–59), and the average age of the UC patients (3 men, 1 women), was 40 years (range 25–52)."
PMC9287705,"Of the 1997 women included, 89.5% were treated with bisphosphonates."
PMC5862436,"Materials and methodsParticipantsA total of 19 native French speakers (10 females, aged 20–35, mean 27.5 years) completed the experiment."
PMC5862436,"All subjects were free of communication disorders and passed audiometric screening.Another 20 participants (12 females, aged 22–45, 10 English speakers, 10 Spanish Speakers) completed a rating test."
PMC2607539,"Materials and MethodsForty participants (aged 18–47 years; mean age = 23 years; 22 males) completed baseline assessments of mood, trait anxiety and depression and then viewed traumatic film footage (Figure 1)."
PMC7959709,"A total of 757 Italian participants completed the survey (183 males, 571 females, and 3 transgender/other)."
PMC5081315,"Five fresh human cadavers (average age at death 65 years; range 52–75 years; 3 males and 2 females), with no previous spinal surgery, were studied."
PMC6420470,"Materials and methodsThe study material were 47 human fetuses of both sexes (25 males and 22 females) aged 17–30 weeks, originating from either spontaneous miscarriages or preterm deliveries."
PMC9450680,"This band is made up of 36 members, 6 women and 30 men, with ages varying between 19 and 76 years, mean age of 40 years."
PMC4360307,"To investigate the etiology of nasal septal deviation in 105 (59 males and 46 females) fetal sinonasal specimens aged 12-40 weeks of gestation, ranging from 37 to 374 mm in length included spontaneously aborted fetuses (Table1)."
PMC9550739,"TCGA findings demonstrated that the model predicted outcomes with stage I + II, stage III + IV, age ≤ 60, age > 60, male and female in Fig.6a–f(P< 0.05 for all)."
PMC4016423,"Our general indications for this approach during that period were increasing back pain unresponsive to nonoperative therapy with cosmetic and radiographic worsening of curves.There were 13 men and 37 women, with a mean age of 61 years (range, 20–85 years) (Table1)."
PMC7177426,"Between August and November 2017, pregnant women were recruited from 4 urban and 8 rural health facilities and their surrounding communities."
PMC5067347,The 27 patients with somatization disorder (mean age: 46.33±9.73 years; 12 males and 15 females) who fulfilled the DSM-IV criteria for somatization disorder and the 27 healthy control volunteers (mean age: 46.81±6.81 years; 12 males and 15 females) were enrolled in the study.
PMC5440819,"So that 120 pregnant women, 30-32 weeks pregnant women who had met the study’s criteria were assigned to either experimental or control group using permuted-block randomization design."
PMC5440819,Finaly 55 pregnant women were analyzed in the experimental group and 55 to the control group (Figure 1).Every participant signed an informed consent form and had the right to stop participating at any stage of the study.
PMC5440819,36 or 38 weeks pregnant women) were asked to complete the STAI again.
PMC9262393,Two sex-specific meta-analyses were also performed: (1) combining women from GERA and UKB; and (2) combining men from GERA and UKB.
PMC6154754,"We did not enrol patients with body mass index < 18 kg/m2or > 35 kg/m2, those with hepatic or severe renal impairment, P-crea > 90 μmol/L in women and > 100 μmol/L in men.Anaesthesia was standardized."
PMC3413544,"Using accurate mid-line hemisection and good preservation of the pelvic viscera as inclusion criteria, 18 (12 male and 6 female) of these sagittally-sectioned cadavers were selected for semi-quantitative analyses."
PMC3413544,The same 6 female hemipelves and 6 male hemipelves (randomly-selected from the 12 used for semi-quantitative analyses) were used for quantitative measurements of endopelvic fascial movement.
PMC3413544,A further series of measurements was then done on 6 male and 6 female cadavers to quantify the amount of endopelvic movement produced by 5 N tension.
PMC3413544,Reliability of the measurement methods was assessed for tension applied to the rectosigmoid junction (2 male and 2 female cadavers) and the prostate (4 male cadavers).
PMC9336687,The representativeness of the sample was ensured because the conscription process is mandatory in Switzerland for all men between 19 and 25 years old.2.2 Procedure and measuresParticipants provided signed informed consent before anonymously completing the questionnaires.
PMC8950011,The IFMC group included 24 male subjects and 25 female subjects.
PMC8950011,"The placebo group included 26 male subjects and 25 female subjects.In this experiment, a treadmill (Power JOG JX200, Cardiosport, Waterlooville, UK) was set to a gradient of 0%."
PMC4845139,"RNA Extraction, Microarray Analysis, and Quantitative Real‐Time Polymerase Chain ReactionTotal RNA from aortic valves of 4 male patients was extracted by using a glass‐fiber filter–based protocol (mirVana miRNA Isolation Kit; Applied Biosystems/Ambion) according to the manufacturer's instructions."
PMC7380989,"Based on reported online reviews studies in general medical specialties, we hypothesized that (1) female dentists, (2) young dentists, and (3) short wait times would be associated with higher overall ratings."
PMC4451284,"RecruitmentPittsburgh and West Virginia each plan to recruit at least 500 women, for a total initial sample size of over 1000 mother-baby pairs."
PMC4451284,"They are scheduled for an initial appointment before the end of their 29th week of pregnancy.In West Virginia, recruitment began in November 2011, with women recruited throughout the state."
PMC7924788,"By age 25, close to 95% of women are married.3.1.1."
PMC5017773,"MethodsSpinal cord samplesParaffin tissue blocks of spinal cord were available from 50 individuals (24 male, 26 female) with an age range of 1–95 years, who had no clinical or histopathological evidence of spinal motoneuron loss."
PMC9473440,"Antenatal visits were calculated using intermediate values to represent women who had some care, but less than the recommended amount of care: women who had no professional antenatal visits were assigned a 0, women with between one and three visits a 0.5, and women with 4 or more visits a 1."
PMC6179252,"The 30% of speakers were female, while the remaining 70% were male."
PMC6568186,"The postoperative pathology was used to evaluate the fast optical diagnosis.Animal model establishmentIn total, 16 female BALB/c-Nu nude mice at 6-8 weeks of age were used to establish the brain tumor model."
PMC7146368,The HMO with the highest value on NMF represents the highest probability of that compound contributing to the HMO profile.Sensitivity analyses were performed using only a subset of 15 women with samples in all time periods.
