	journal-id	aff	year	PMCID	tokenized_METHODS
77	JSLS	Director of Minimally Invasive Surgery, Atlanta Medical Center Georgia, Atlanta, Georgia, USA.	2008	PMC3030786	After IRB approval, 3 female patients then underwent near total thyroidectomy, which was found to be feasible and extremely safe.5From January 2006 to September 2008, we used the ETTT approach on 22 consecutive patients.
78	JSLS	Director of Minimally Invasive Surgery, Atlanta Medical Center Georgia, Atlanta, Georgia, USA.	2008	PMC3030786	The patients included 20 women and 2 men.
79	J Immune Based Ther Vaccines		1994	PMC2770445	
80	101258149		2001	PMC2312096	
81	J Neuroeng Rehabil		1999	PMC3120755	
82	Virol J		2004	PMC1964790	
83	BMC Genomics		1999	PMC2664823	
84	Orphanet J Rare Dis		2006	PMC2288596	
85	Reprod Biol Endocrinol		2004	PMC2797791	A total of 20 infertile women with tubal blockage undergoing controlled ovarian hyperstimulation (COH) for in vitro fertilization- embryo transfer were enrolled into the study.
86	BMC Cell Biol		2006	PMC2914660	
87	ploscomp	University of Zurich, Switzerland	2005	PMC3048381	
88	Breast Cancer Res		2007	PMC2374959	
89	plosone	Massachusetts General Hospital, United States of America	2004	PMC3138756	
90	humu		2008	PMC3051265	
91	DMM		1997	PMC3046103	
92	plosone	Biological Research Center of the Hungarian Academy of Sciences, Hungary	2001	PMC3004914	
93	UPS		1992	PMC3039755	
94	Bioinformation		2006	PMC2951714	
95	plosone	University of Oulu, Germany	2000	PMC3119473	
96	Diabetes		2009	PMC2963533	Subjects had been weight stable for at least 3 months before surgery, and they included 29 women and 1 man (mean BMI ± SEM = 43.35 ± 1.05 kg/m2, range 34.5–59.1; mean age ± SEM = 40.4 ± 1.93 years, range 26–61 years).
97	Diabetes		2009	PMC2963533	Abdominal SAT were obtained from 51 nonobese healthy women undergoing plastic surgery for cosmetic purposes (mean BMI ± SEM = 23.11 ± 0.221, range 19.5–27.2; mean age ± SEM = 43.57 ± 1.753, range 24–74).
98	BMC Med Genet		1998	PMC420466	
99	JBC		1999	PMC3148508	
100	ijbs	3. Armed Forces Institute of Pathology and American Registry of Pathology,                 Washington DC	2006	PMC2664550	
101	Br J Cancer		2001	PMC2364778	Bone marrow samples obtained by aspiration were collected after an acquisition of informed consent from 183 consecutive patients (106 male; 77 female) who were diagnosed with de novo ALL between January 1989 and December 2002.
102	bjh		1998	PMC2268974	
103	plosone	Victor Chang Cardiac Research Institute, Australia	1993	PMC2216682	
104	Br J Cancer		1998	PMC2360025	
105	Environ. Health Perspect	Department of Experimental Medicine and Toxicology, Imperial College London, London, United Kingdom	2008b	PMC2702408	
106	BMC Med Res Methodol		2000	PMC1794255	
107	plosone	Roswell Park Cancer Institute, United States of America	1984	PMC3157465	
108	Breast Cancer Res		1997	PMC3096953	
109	plosgen	Stanford University School of Medicine, United States of America	2009	PMC3009656	
110	Environ Health		1999	PMC2931486	
111	plosone	Mayo Clinic College of Medicine, United States of America	2005	PMC3063154	
112	plosone	Center for Genomic Regulation, Spain	1997	PMC2040197	
113	BMC Pregnancy Childbirth		2006	PMC2898677	During the third phase, interviews were conducted with 23 women who had delivered within three months of the interview.
114	Arthritis Res Ther		2000	PMC2212554	Forty-five patients (38 women, seven men) had limited cutaneous SSc, and 18 patients (13 women, five men) had proximal skin involvement and fulfilled the criteria for diffuse cutaneous SSc [17].
115	spcep		2006	PMC2899772	
116	BMC Geriatr		2008	PMC2955596	
117	nar		2005	PMC3001088	
118	J. Cell Biol	 	2003	PMC2172812	
119	Arthritis Res Ther		2003	PMC1779419	
120	Immun Ageing		1985	PMC2984488	
121	BMC Surg		2008	PMC3004834	
122	Cardiovasc Diabetol		1007	PMC2940873	
123	nar		2004	PMC2853110	
124	BMC Res Notes		2005	PMC2713255	
125	BMC Complement Altern Med		2009	PMC3033860	
126	BMC Bioinformatics		2004	PMC1550434	
127	MV		1998	PMC2862246	The numerals shown below the symbols indicate the age of the individuals.A total of 50 healthy volunteers with no ocular or other disorders matched for age (range between 8-20 years) and sex (25 males and 25 females) formed the controls.
128	Crit Care		2001	PMC2811932	
129	Front. Psychiatry		2008	PMC3098715	
130	Acta Vet. Scand		2010	PMC3038973	
131	BMC Public Health		2003	PMC2644290	A total of 968 subjects (508 men and 460 women) were contacted to participate in our study by trained personnel.
132	BMC Public Health		2003	PMC2644290	Of those contacted, 16 declined to participate (11 men and 5 women), and 152 were unavailable for interviews (97 men and 55 women).
133	BMC Cancer		2005	PMC1173095	
134	tra		1996	PMC2239300	
135	jcb		1998	PMC2886342	
136	BMC Cancer		2005	PMC2974736	
137	Biol Cybern		2005	PMC2798030	
138	Crit Care		2006	PMC2887191	
139	nar		2006	PMC2275081	
140	bioinfo		2009	PMC2995125	
141	BMC Public Health		2002	PMC2577658	
142	Retrovirology		1996	PMC446230	
143	Br J Cancer	School of Biological Sciences, Oxford Brookes University, Oxford OX3 0BP, UK	1997	PMC2375186	
144	Br J Cancer		2006b	PMC2453028	For the HPV typing, a random age-stratified sample of the participants was taken for each region by categorising the women in 11 5-year age groups: ⩽19, 20–24, 25–29, 30–34, 35–39, 40–44, 45–49, 50–54, 55–59, 60–64, and ⩾65 years.
145	Br J Cancer		2006b	PMC2453028	As the youngest and oldest groups were under-represented (<100 women), the total samples was less than 1100 per region.
146	BMC Genomics		2001	PMC2423196	
147	Nucleic Acids Research		2004	PMC1137027	
148	Reprod Biol Endocrinol		2000	PMC3156729	
149	plosone	Oxford University, United Kingdom	2006	PMC2427181	
150	Genome Biol		2007	PMC2945790	
151	BMC Health Serv Res		2002	PMC1402282	
152	plosone	Canadian Agency for Drugs and Technologies in Health, Canada	1996	PMC1995764	
153	plosone	The University of Chicago, United States of America	2010	PMC2859936	
154	plosone	Sanford-Burnham Medical Research Institute, United States of America	2010	PMC3145662	
155	plosone	University of Birmingham, United Kingdom	1995	PMC2890414	
156	IJU	Department of Urology, Kingston Hospital, Galsworthy Rd, London KT2 UK	2004	PMC2938547	[1718]Early studies of 152 patients who underwent sling surgery using an SIS sling anchored to the pubis with bone screws, showed that 142 women (93.4%) were relieved of their SUI after a median follow-up of 2.3 years.
157	IJU	Department of Urology, Kingston Hospital, Galsworthy Rd, London KT2 UK	2004	PMC2938547	[20] Only 27 of the 34 women (79%) at the two-year follow-up reported that their stress incontinence was cured.
158	BMC Cancer		2007	PMC2836299	
159	jcb	 	2003	PMC2064447	
160	TOBIOCJ		2007	PMC2905766	
161	plosone	CNRS, France	2010	PMC3079728	
162	MV		2007	PMC2716933	
163	Cardiovasc Diabetol		2007	PMC2667489	
164	Nanoscale Res Lett		2009	PMC2894309	
165	Matern Child Health J		2003	PMC1592153	
166	Br J Cancer		1997	PMC2394470	
167	J. Cell Biol	Endocrinology and Reproduction Research Branch, National Institutes of Child Health and Human Development, National Institutes of Health, Bethesda, Maryland 20892-4510	1998	PMC2132833	
168	Br J Cancer		2005	PMC2634680	
169	J. Cell Biol	Department of Surgery and Molecular Oncology, Ninewells Hospital and Medical School, Cancer Research Campaign (CRC) Cell Transformation Research Group, University of Dundee, Dundee DD1 9SY, UK	1996	PMC2173124	
170	plosntds	Fundação Oswaldo Cruz, Brazil	1976	PMC2217670	
171	Diabetes		2009	PMC3161327	
172	Immun Ageing		1996	PMC1475883	
173	bioinfo		2005	PMC2718639	
174	BMC Infect Dis		2004	PMC2557011	
175	Vascular Health and Risk Management		2003	PMC2291344	
176	BMC Bioinformatics		2003	PMC1524995	
177	BMC Cancer		2006	PMC2928797	
178	plosone	Indiana University, United States of America	2003	PMC2995727	
179	J. Exp. Med	From the	1996	PMC2198982	
180	plosone	University of California, Riverside, United States of America	2008	PMC2835737	
181	nar		2008	PMC2582599	
182	Summit on Translat Bioinforma		2009	PMC3041533	
183	Genome Biol		2008	PMC2872876	
184	nar		2003	PMC2896187	
185	plosone	University of Padova, Medical School, Italy	2010	PMC3050899	
186	Nature		2007	PMC2885016	
187	BMC Bioinformatics		2005	PMC1440873	
188	Mol Cancer		2002	PMC1904238	
189	molehr		2009	PMC3097071	
190	nar		2008	PMC2761286	
191	nar		2008	PMC2777429	
192	nar		2008	PMC2715224	
193	ImpactJ		2007	PMC3047139	METHODSThe Leiden Longevity StudyNonagenarian sibling pairs were included when aged older than 89 years for men and 91 years for women and having at least one sister or a brother fulfilling these age criteria, who was also willing to participate.
194	Eur J Clin Nutr		2004	PMC2787671	
195	BMC Genomics		2004	PMC2822525	
196	JOBES		2004	PMC3018653	ParticipantsA total of 752 women responded to the recruitment strategies for the study.
197	JOBES		2004	PMC3018653	In addition, 18 women were excluded for “other” reasons, (e.g., age greater than 65, transportation difficulties, planned relocation, and planning to become pregnant within the next year), and 58 were not interested.
198	JOBES		2004	PMC3018653	At baseline, there were 59 (22%) normal/underweight women, 105 (39%) overweight women, and 106 (39%) obese women.
199	JOBES		2004	PMC3018653	The Fat Screener correlations with true fat intake ranged from 0.36 to 0.59 among women [51].2.6.
200	plosone	Health Canada, Canada	2007	PMC2854685	
201	Mol Cancer		2009	PMC2905338	
202	IJOrtho		1996	PMC2989508	
203	BMC Cancer		2001	PMC517501	
204	plosone	University of Hong Kong, China	2002	PMC1762419	
205	Virol J		1990	PMC2275253	
206	plosgen	Brandeis University, United States of America	2000	PMC1513265	
207	Nucleic Acids Research		1999	PMC546134	
208	BMC Res Notes		2007	PMC2949662	
209	Arthritis Res Ther		2005	PMC1779403	
210	plosone	University of Nebraska, United States of America	2000	PMC2692002	
211	Nucleic Acids Research		2005	PMC1669723	
212	plosbiol	Massey University, New Zealand	2007	PMC2976717	
213	Environ. Health Perspect	University of Essex, Colchester, Essex, United Kingdom	2003	PMC2072835	
214	Nat. Immunol.		2001	PMC3001335	
215	plosone	Global Viral Forecasting Initiative, United States of America	2002	PMC3081318	
216	ploscomp	University of Texas, United States of America	2001	PMC1447656	
217	MI	Department of Medicine II, University of Tübingen, Otfried-Müller-Street 10, 72076 Tübingen, Germany	2004	PMC2669154	
218	BMC Biotechnol		1994	PMC2736937	
219	Dev. Biol	Section of Gene Function and Regulation, The Institute of Cancer Research, Chester Beatty Laboratories, 237 Fulham Road, London, SW3 6JB, UK	2008	PMC3123743	
220	J Biol Inorg Chem		2006	PMC2099460	
221	Mol Cancer		1986	PMC3094321	
222	JoVE	Molecular and Metabolic Signalling Centre, Division of Basic Medical Sciences, St. George's University of London	2008	PMC2872982	
223	Int J Health Geogr		2002	PMC526213	
224	plosone	University of Colorado, Boulder, United States of America	2001	PMC2991355	
225	plosone	Ecole Normale Supérieure de Lyon, France	2002	PMC3144224	
226	plosone	Leeds Institute of Molecular Medicine, United Kingdom	2009	PMC2820541	
227	BMC Genomics		2000	PMC3091652	
228	BMC Gastroenterol		1992	PMC2894006	
229	EID	Max-Rubner Institute, Kulmbach, Germany (R. Pichner)	2006	PMC2630736	
230	BMC Bioinformatics		2000	PMC2099485	
231	J Cancer Res Clin Oncol	Chinese Academy of Sciences, 730000 Lanzhou, China 	2006	PMC2874488	
232	plosone	National Cancer Institute, United States of America	2002	PMC2908126	
233	J Neuroeng Rehabil		2001	PMC2988806	
234	Mol Cancer		1996	PMC2206053	Of the rest, 28 were male and 18 were female, 14 were White of non-Hispanic descent, 14 White of Hispanic descent, 11 were Black, and 7 were of various Asian origins.
235	BMC Res Notes		2008	PMC3121621	
236	J Exp Clin Cancer Res		2000	PMC2735734	
237	plosone	University of Muenster, Germany	1992	PMC2756621	
238	plosone	University of South Florida, United States of America	2010	PMC3102717	
239	CI		1999	PMC1665298	
240	J. Synchrotron Rad.		2011	PMC3083914	
241	nar		2004	PMC2377436	
242	plosone	Queensland Institute of Medical Research, Australia	2008	PMC3001879	
243	MI	2nd Department of Obstetrics and Gynecology, University of Athens, 11528 Athens, Greece	1998	PMC1533890	
244	Reprod Biol Endocrinol		2008	PMC2752458	
245	BMC Evol. Biol		1999	PMC2292700	
246	BMC Public Health		2005	PMC3123596	
247	JKMS		1988	PMC2633198	
248	Genome Med		2008	PMC2808741	
249	Diabetes Metab Syndr Obes		2010	PMC3139531	
250	JBC	the	2003	PMC3069401	
251	CIOS	Department of Orthopedic Surgery, Seoul National University College of Medicine, Seoul, Korea.	1993	PMC3162196	
252	plosone	University of Dayton, United States of America	2007	PMC2888586	All the patients were diagnosed as meningioma in formal pathological reports between Jan 2003 and Sep 2005.Clinical dataEighteen cases were male, and 31 cases were female.
253	BMC Bioinformatics		2006	PMC1885850	
254	BMC Cancer		2003	PMC2613415	If the sample size would have been larger, the results would be more representative, which is a limitation of our study.The patient group was composed of 82 males and 18 females, with an average age of 60 years.
255	Br J Cancer		1979	PMC2816648	
256	plosone	Roswell Park Cancer Institute, United States of America	1995	PMC3135584	
257	plospath	Cornell University, United States of America	2004	PMC2242842	The control human plasma pool 3 was a hyperimmune pool made from 7 Tanzanian women and 3 male.
258	bmj		2007	PMC2771076	To allow for technical difficulties (such as insufficient serum, etc), 3550 women were randomly selected from the linked dataset for cotinine analysis.Cotinine analysisAs cotinine is derived only from nicotine metabolism, its measurement in serum is a good indicator of recent nicotine exposure.
259	bmj		2007	PMC2771076	Fifty women with no data on deprivation category or age were excluded, leaving 52 591 pregnant women in Scotland with a 2004 birth.
260	Br J Cancer	Cancer Research UK Colorectal Tumour Biology Research Group, Department of Pathology and Microbiology, School of Medical Sciences, University of Bristol, University Walk, Bristol BS8 1TD, UK	2000	PMC2364214	
261	Crit Care		1999	PMC153440	
262	EID	Australian Biosecurity Cooperative Research Centre for Emerging infectious Diseases, Perth, Western Australia, Australia (J.S. Mackenzie)	1992	PMC2630726	
263	BMC Health Serv Res		2003	PMC2257948	
264	EMBO J		2009	PMC3041949	
265	amiajnl		2010	PMC3168302	
266	plosone	University of Bremen, Germany	1987	PMC3063182	
267	Malar J		2003	PMC183858	
268	Purinergic Signal		2000	PMC2254480	
269	Genome Biol		2004	PMC551535	
270	BMC Genomics		2005	PMC1949828	
271	Reprod Biol Endocrinol		1996	PMC1796880	
272	plosone	Roswell Park Cancer Institute, United States of America	1994	PMC2843748	
273	BMC Cell Biol		2002	PMC2995477	
274	Arthritis Res Ther		2009	PMC2745776	
275	BMC Genomics		1995	PMC2807882	
276	Br J Cancer		2001	PMC2361341	
277	plosmed	University of California Los Angeles, United States of America	2003	PMC2001209	
278	JBC	the	2006	PMC2975204	
279	BMC Pharmacol		1986	PMC1458335	
280	diacare		2008	PMC2606853	
281	plosgen	University of Geneva Medical School, Switzerland	2009	PMC3000347	
282	Ulster Med J		2005	PMC2604476	
283	Br J Cancer		2007	PMC2634691	The mean age of women with grades 1, 2 and 3 cancer was 58 years.Description of women included in the JAK2/STAT3 studyWith few exceptions common tissues were used for JAK2, STAT3 and P-STAT3 expression.
284	Br J Cancer		2007	PMC2634691	A total of 58 women were included in the study.
285	Br J Cancer		2002	PMC2696759	
286	Curr Osteoporos Rep		2003	PMC2841260	
287	Cell Death Dis		2008	PMC3032329	
288	BMC Genomics		2006	PMC1796866	
289	JHRS		2004	PMC3017328	
290	Virol J		2003	PMC2709894	
291	BMC Med Genet		2004	PMC2664799	The 941 control subjects were selected on fasting plasma glucose < 6.1 mmol/l and BMI < 27 kg/m2 (N = 380 males and 561 females, age at examination 62.2.0 ± 7.5 years, BMI 23.2 ± 2.0 kg/m2) and all were unrelated.
292	BMC Cancer		2002	PMC481072	
293	plosbiol	University of Vermont, United States of America	1978	PMC2927421	
294	Eur J Trauma Emerg Surg		2007	PMC3150797	
295	BMC Bioinformatics		1988	PMC2535786	
296	BMC Bioinformatics		2003	PMC2821317	
297	J. Cell Biol	Medical Research Council Laboratory of Molecular Biology, Cambridge CB2 2QH, UK	2001	PMC2172650	
298	Br J Cancer		2001	PMC3065274	
299	Bioinformation		2008	PMC2770371	
300	plosone	IBM Thomas J. Watson Research Center, United States of America	2007	PMC2642727	
301	plosone	Tsinghua University, China	2009	PMC2978095	
302	Br J Cancer		2009	PMC3137408	
303	J. Exp. Med	From the	1990	PMC2193067	
304	J Exp Clin Cancer Res		2006	PMC2711967	
305	plosone	National Institutes of Health (NIH)/National Institute of Environmental Health Sciences (NIEHS), United States of America	1991	PMC2728543	
306	Br J Cancer		2001	PMC2360520	
307	plospath	Washington University School of Medicine, United States of America	2002	PMC1315278	
308	plosone	University of Illinois at Chicago, United States of America	2002	PMC3048874	
309	BMC Proc		2006	PMC2367566	
310	plosone	Centre de Recherche Public de la Santé (CRP-Santé), Luxembourg	2007	PMC2766251	Polyomavirus middle T oncogene expression results in the generation of multifocal mammary carcinomas in 100% of female mice, followed by progression to pulmonary metastases in the vast majority of animals.
311	J. Exp. Med	 	1999	PMC2213286	
312	plosone	University of Michigan, United States of America	2010	PMC3157468	
313	J. Exp. Med	 	1996	PMC2193267	
314	jnci		2006	PMC2684552	
315	plosone	Centre de Recherche Public de la Santé (CRP-Santé), Luxembourg	2003	PMC3081330	
316	diacare		2000	PMC2494669	RESEARCH DESIGN AND METHODSWe examined 55 patients with fulminant type 1 diabetes (49% female, median age at onset 35.0 years), 91 patients with classic type 1A diabetes (57% female, median age at onset 17.0 years), and 369 healthy control subjects.
317	Ann Clin Microbiol Antimicrob		1972	PMC2365959	
318	BMC Bioinformatics		2004	PMC2638148	
319	BMC Cell Biol		2003	PMC2257931	
320	JCB	 	2000	PMC2171213	
321	J Transl Med		2010	PMC3007785	
322	plosone	University of Utah, United States of America	1985	PMC2885431	
323	Oncogene	Department of Microbiology College of Biological Sciences University of California at Davis	2005	PMC2787677	
324	databa		2005	PMC2790303	
325	J. Gen. Physiol	From the	1985	PMC2222985	
326	plosone	Istituto Dermopatico dell'Immacolata, Italy	2008	PMC3084281	
327	Int J Health Geogr		2008	PMC2837623	
328	J. Cell Biol	 	1999	PMC2172769	
329	Diabetes Care		2008	PMC2768199	
330	MI	Department of Experimental Immunology, Centre for Medical Biology, Polish Academy of Sciences, Lodowa 106, Lodz 93-232, Poland	1995	PMC1618947	
331	J Headache Pain	Department of Neurology, Danish Headache Center, University of Copenhagen, Glostrup Hospital, Glostrup, Denmark 	1998	PMC3094671	
332	J. Exp. Med	 	2003	PMC2213100	
333	BMC Struct Biol		1997	PMC1854907	
334	plosone	Yale University, United States of America	2003	PMC2727792	
335	MI		1995	PMC2276816	The original study population comprised aprospective series of 300 males aged 33–70 years (mean 53years).
336	BMC Nephrol		2004	PMC546009	
337	BMC Public Health		2004	PMC2576234	
338	plosone	Agency for Science, Technology and Research (A*STAR), Singapore	1999	PMC3031559	
339	adc		2007	PMC2563416	
340	plosone	CIET, Canada	2002	PMC2869349	
341	plosone	University of Illinois at Chicago, United States of America	1990	PMC3008681	
342	nar	 	2008	PMC2770652	
343	Environ. Health Perspect		1997	PMC2702396	Biological data on TH and OC concentrations were available for 204 pregnant women.
344	BMC Genomics		2005	PMC1769375	
345	plosone	INSERM U862, France	2009	PMC2858646	
346	Nucleic Acids Research		2003	PMC1201336	
347	BMC Res Notes		2008	PMC2527573	
348	BMC Infect Dis		2009	PMC2912309	
349	diabetes	From Medical Department M (Endocrinology and Diabetes), Aarhus University Hospital, Aarhus, Denmark	1998	PMC2584125	
350	Neuropsychiatric Disease and Treatment		2010	PMC3083982	
351	Open Med		2006	PMC3148004	
352	J Carcinog		1994	PMC1185555	
353	J. Cell Biol	The Lung Biology Center, Department of Medicine, University of California, San Francisco, California 94143	1993	PMC2139798	
354	MV		2001	PMC2927439	
355	ISME J		2004	PMC2713796	
356	101258149	Department of Epidemiology and Biostatistics, Memorial Sloan-Kettering Cancer Center, New York, New York, U.S.A	2005	PMC2623315	
357	jcb	Department of Pathology, The University of Chicago, Chicago, IL 60637	1994	PMC2386107	
358	Hum Resour Health		2005	PMC2813845	
359	plosone	Mental Health Research Institute and the University of Melbourne of Victoria, Australia	2010	PMC2954170	
360	BMC Cell Biol		1978	PMC2359743	
361	Oncogene		2005	PMC3007125	
362	Child Adolesc Psychiatry Ment Health		1999	PMC1939834	
363	Diabetes		2006	PMC2750221	
364	BMC Genomics		2003	PMC520814	
365	CRP	Departamento de Enfermagem Geral e Especializada, Escola de Enfermagem de Ribeirão Preto/Universidade de São Paulo, Avenida Bandeirantes, 3900, 14040-902-Ribeirão Preto, SP, Brazil	2003	PMC2778454	The cutoff points for cardiovascular disease risk was 102 cm for men and 88 for women.2.5.
366	Cancer Chemother Pharmacol		1996	PMC2717390	Cells from various sublines were reimplanted into groups of 10 NCR nu/nu female mice, and those lines that resulted in greater than 70% tumor take, and uniform tumor growth rates were used in future in vivo studies.
367	plosone	University of Oxford, United Kingdom	1996	PMC3024425	
368	BMC Genomics		2003	PMC1976135	
369	BMC Biotechnol		2002	PMC2270825	
370	BMC Cell Biol		2000	PMC116580	
371	International Journal of Nanomedicine		2005	PMC2676665	
372	jbc		2009	PMC2635056	
373	Environ Health		2009	PMC3117762	In order to make comparisons between models for the current analyses, subjects with missing values were not included, thus the subsample consisted of 1900 children (Netherlands = 558, Spain = 559, United Kingdom = 783; Males = 897, Females = 1003).
374	IJPsyM		2003	PMC3122541	
375	BMC Clin Pharmacol		2006	PMC1914339	
376	J. Virol. Methods		1992	PMC2995219	
377	molehr		2000	PMC2989828	
378	Br J Cancer		1998	PMC2377136	
379	BMC Bioinformatics		2003	PMC1869013	
380	BMC Mol Biol		2006	PMC2892492	
381	BMC Med Genet		1955	PMC29094	Materials and methodsMaterials and methods used in this paper follow closely on the ones described in a paper we have already published [1].SubjectsOne hundred and thirty-three unrelated Japanese women with GD and 114 unrelated Japanese women with HT participated in this study.
382	plosone	University of Southern California, United States of America	2005	PMC3023796	
383	Lipids Health Dis		2000	PMC3022593	
384	plosone	University of Georgia, United States of America	2008	PMC3050823	
385	Genome Biol		1998	PMC193616	
386	J Occup Med Toxicol		2001	PMC2551601	
387	BMC Genomics		2002	PMC3141671	
388	ImpactJ		2007	PMC3006022	
389	J Hematop		2006	PMC2713481	
390	Breast Cancer Res		2007	PMC1851380	
391	BMC Genet		2008	PMC2576350	
392	plosone	Ohio State University Medical Center, United States of America	1975	PMC2887363	
393	Br J Cancer		2003	PMC2360109	
394	J. Exp. Med	From the	1996	PMC2196044	
395	Bioinformation		2010	PMC3064852	
396	Int Breastfeed J		2004	PMC2396602	
397	Implement Sci		1994	PMC2988066	
398	humupd		1997	PMC2423221	
399	J. Cell Biol	 	1998	PMC2192034	
400	UPS		2006	PMC2852768	
401	BMC Res Notes		2005	PMC2669477	
402	JBC	the	2005	PMC2992283	
403	Crit Care		2000	PMC2206402	
404	ploscomp	University of California San Diego, United States of America	2002	PMC2928778	
405	plosgen	University of California San Diego, United States of America	2006	PMC3060067	
406	BMC Genet		1996	PMC1871603	
407	Radiat Oncol		2008	PMC2698866	
408	Genome Biol		1992	PMC2246280	
409	plosone	Center for Genomic Regulation, Spain	2005	PMC2147076	
410	Mol Cancer		2003	PMC549029	
411	J Int Soc Sports Nutr		2001	PMC2206056	MethodsSubjectsForty subjects (19 males and 21 females) volunteered to participate in this study.
412	J Nanobiotechnology		1982	PMC2844353	
413	plosone	The Wellcome Trust Sanger Institute, United Kingdom	2002	PMC2394658	
414	Eur J Appl Physiol		2003	PMC2908461	
415	nar	Department of Biochemistry and Molecular Biology, Johns Hopkins University, Bloomberg School of Public Health, Baltimore, MD 21205, USA	2007	PMC2553570	
